"FECHA" "CODIGO" "LATITUD" "LONGITUD" "ELEVACION" "ESTACION" "MUNICIPIO" "DEPARTAMENTO" "DATO"
"77" "04/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.2
"78" "05/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1
"79" "06/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.4
"80" "08/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.3
"81" "09/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.8
"82" "10/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.3
"83" "11/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.7
"84" "12/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.3
"85" "13/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.7
"86" "14/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.6
"87" "15/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.4
"88" "16/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.6
"89" "17/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.2
"90" "18/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.5
"91" "19/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.2
"92" "20/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.8
"93" "21/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"94" "22/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.7
"95" "27/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.7
"96" "01/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.7
"97" "03/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.5
"98" "05/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"99" "10/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.7
"100" "11/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.3
"101" "12/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1
"102" "13/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.3
"103" "14/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"104" "18/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.4
"105" "19/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.2
"106" "22/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -3.5
"107" "23/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -3.6
"108" "24/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.8
"109" "25/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.1
"110" "26/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2.2
"111" "27/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -2
"112" "28/02/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.9
"113" "01/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1.5
"114" "02/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" 0
"115" "03/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.5
"116" "04/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.1
"117" "14/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.4
"118" "15/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.4
"119" "16/03/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.5
